,clearing_price
0,74.71196517094016
1,74.71196517094016
2,74.71196517094016
3,74.71196517094016
4,74.71196517094016
5,74.71196517094016
6,74.71196517094016
7,74.71196517094016
8,74.71196517094016
9,74.71196517094016
10,74.71196517094016
11,74.71196517094016
12,74.71196517094016
13,74.71196517094016
14,74.71196517094016
15,74.71196517094016
16,74.71196517094016
17,74.71196517094016
18,74.71196517094016
19,74.71196517094016
20,74.71196517094016
21,74.71196517094016
22,74.71196517094016
23,74.71196517094016
24,74.71196517094016
25,74.71196517094016
26,74.71196517094016
27,74.71196517094016
28,74.71196517094016
29,74.71196517094016
30,74.71196517094016
31,74.71196517094016
32,74.71196517094016
33,74.71196517094016
34,74.71196517094016
35,74.71196517094016
36,74.71196517094016
37,74.71196517094016
38,74.71196517094016
39,74.71196517094016
40,74.71196517094016
41,74.71196517094016
42,74.71196517094016
43,74.71196517094016
44,74.71196517094016
45,74.71196517094016
46,74.71196517094016
47,74.71196517094016
48,74.71196517094016
49,74.71196517094016
50,74.71196517094016
51,74.71196517094016
52,74.71196517094016
53,74.71196517094016
54,74.71196517094016
55,74.71196517094016
56,74.71196517094016
57,74.71196517094016
58,74.71196517094016
59,74.71196517094016
60,74.71196517094016
61,74.71196517094016
62,74.71196517094016
63,74.71196517094016
64,74.71196517094016
65,74.71196517094016
66,74.71196517094016
67,74.71196517094016
68,74.71196517094016
69,74.71196517094016
70,74.71196517094016
71,74.71196517094016
72,74.71196517094016
73,76.46221220588234
74,76.46221220588234
75,76.46221220588234
76,76.46221220588234
77,76.46221220588234
78,76.46221220588234
79,76.46221220588234
80,76.46221220588234
81,76.46221220588234
82,76.46221220588234
83,76.46221220588234
84,76.46221220588234
85,76.46221220588234
86,76.46221220588234
87,76.46221220588234
88,76.46221220588234
89,74.71196517094016
90,74.71196517094016
91,74.71196517094016
92,74.71196517094016
93,74.71196517094016
94,74.71196517094016
95,74.71196517094016
96,63.8690396103896
97,60.99530187772925
98,57.56649130434782
99,55.668265294117646
100,53.197806159695816
101,52.24283841346153
102,52.24283841346153
103,48.83356172284644
104,40.963055454545454
105,34.89741205387205
106,34.69767184563758
107,34.69767184563758
108,30.421467695473247
109,29.29576028169014
110,29.29576028169014
111,29.29576028169014
112,29.29576028169014
113,29.29576028169014
114,25.662925720524008
115,24.32569595330739
116,24.32569595330739
117,24.32569595330739
118,24.32569595330739
119,24.32569595330739
120,24.056758239436626
121,24.056758239436626
122,21.30691791044776
123,21.25796707920792
124,21.30691791044776
125,21.30691791044776
126,21.02674006369427
127,21.25796707920792
128,21.02674006369427
129,21.02674006369427
130,21.02674006369427
131,21.02674006369427
132,21.02674006369427
133,21.02674006369427
134,21.02674006369427
135,21.02674006369427
136,21.02674006369427
137,21.02674006369427
138,21.02674006369427
139,21.02674006369427
140,21.02674006369427
141,21.02674006369427
142,21.02674006369427
143,21.02674006369427
144,21.02674006369427
145,21.02674006369427
146,21.02674006369427
147,21.02674006369427
148,19.722695
149,19.722695
150,19.722695
151,19.722695
152,21.02674006369427
153,21.02674006369427
154,19.722695
155,19.722695
156,19.722695
157,19.722695
158,19.722695
159,19.722695
160,21.02674006369427
161,21.02674006369427
162,21.02674006369427
163,21.02674006369427
164,21.02674006369427
165,21.02674006369427
166,21.02674006369427
167,21.02674006369427
168,21.02674006369427
169,21.30691791044776
170,22.667904029126216
171,24.056758239436626
172,24.056758239436626
173,24.056758239436626
174,24.056758239436626
175,24.32569595330739
176,25.662925720524008
177,24.32569595330739
178,24.32569595330739
179,24.32569595330739
180,29.29576028169014
181,29.29576028169014
182,30.421467695473247
183,38.78882542857143
184,48.83356172284644
185,42.439770439024386
186,48.83356172284644
187,52.24283841346153
188,52.24283841346153
189,55.668265294117646
190,55.668265294117646
191,62.25091919148936
192,74.71196517094016
193,74.71196517094016
194,74.71196517094016
195,74.71196517094016
196,74.71196517094016
197,76.46221220588234
198,77.88001327835052
199,77.88001327835052
200,77.88001327835052
201,77.88001327835052
202,77.88001327835052
203,77.88001327835052
204,77.88001327835052
205,77.88001327835052
206,77.88001327835052
207,77.88001327835052
208,77.88001327835052
209,77.88001327835052
210,78.57600081570997
211,78.94052088791848
212,94.52924920454547
213,94.52924920454547
214,94.52924920454547
215,94.52924920454547
216,94.52924920454547
217,94.52924920454547
218,94.52924920454547
219,94.52924920454547
220,94.52924920454547
221,94.52924920454547
222,94.52924920454547
223,94.52924920454547
224,94.52924920454547
225,94.52924920454547
226,94.52924920454547
227,94.52924920454547
228,94.52924920454547
229,94.52924920454547
230,94.52924920454547
231,94.52924920454547
232,94.52924920454547
233,94.52924920454547
234,94.52924920454547
235,94.52924920454547
236,94.52924920454547
237,94.52924920454547
238,94.52924920454547
239,94.52924920454547
240,94.52924920454547
241,94.52924920454547
242,94.52924920454547
243,94.52924920454547
244,94.52924920454547
245,94.52924920454547
246,94.52924920454547
247,94.52924920454547
248,94.52924920454547
249,94.52924920454547
250,94.52924920454547
251,94.52924920454547
252,94.52924920454547
253,94.52924920454547
254,94.52924920454547
255,94.52924920454547
256,94.52924920454547
257,94.52924920454547
258,78.94052088791848
259,78.94052088791848
260,78.94052088791848
261,78.57600081570997
262,78.57600081570997
263,77.88001327835052
264,77.88001327835052
265,77.88001327835052
266,77.88001327835052
267,77.88001327835052
268,77.88001327835052
269,77.88001327835052
270,77.88001327835052
271,77.88001327835052
272,77.88001327835052
273,77.88001327835052
274,77.88001327835052
275,77.88001327835052
276,77.88001327835052
277,77.88001327835052
278,77.88001327835052
279,77.88001327835052
280,77.88001327835052
281,77.88001327835052
